✅ 18:18:49 | root | Initializing bidirectional synchronizer
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 73803566 (LAP POMADA HUO BING ORIENTAL 4G) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto LAP POMADA HUO BING ORIENTAL 4G (ID: 73803566) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 73776119 (GEL HIDRATANTE VIRILHA  CITRUS) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto GEL HIDRATANTE VIRILHA  CITRUS (ID: 73776119) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 73776005 (GEL HIDRATANTE VIRILHA AMORA) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto GEL HIDRATANTE VIRILHA AMORA (ID: 73776005) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 73766466 (CONJUNTO POLIAMIDA) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto CONJUNTO POLIAMIDA (ID: 73766466) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 73583991 (Calcinha Passa Fita) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto Calcinha Passa Fita (ID: 73583991) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 73442183 (CALESSON FIO) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto CALESSON FIO (ID: 73442183) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 73442027 (CALESSON GRANDE) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto CALESSON GRANDE (ID: 73442027) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 73391127 (LOVE ICE OLEO BEIJAVEL MENTA) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto LOVE ICE OLEO BEIJAVEL MENTA (ID: 73391127) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 73339870 (Pênis Realístico com Ventosa, Possui Glande e Veias Salientes -TRANSPICUOUS DILDO) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto Pênis Realístico com Ventosa, Possui Glande e Veias Salientes -TRANSPICUOUS DILDO (ID: 73339870) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 73323078 (LAP GOTAS HUO BING 4G) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto LAP GOTAS HUO BING 4G (ID: 73323078) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 73323069 (L017 LAP POMADA TIEMPO 4G) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto L017 LAP POMADA TIEMPO 4G (ID: 73323069) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 73323065 (L014 LAP POMADA CALIENTE 4G) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto L014 LAP POMADA CALIENTE 4G (ID: 73323065) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 73323059 (L016 LAP POMADA SUAVE 4G) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto L016 LAP POMADA SUAVE 4G (ID: 73323059) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 73323050 (L015 LAP POMADA NUEVA 4G) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto L015 LAP POMADA NUEVA 4G (ID: 73323050) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 73322974 (L718 Desodorante Intimo Rainbow Essence 166ml) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto L718 Desodorante Intimo Rainbow Essence 166ml (ID: 73322974) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 73322825 (LAP SPRAY NUEVA  20ml) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
